Date,Open,High,Low,Close,Volume,Adj Close
1/3/2000,148.25,148.25,143.875,145.4375,8164300,104.855598
1/4/2000,143.531204,144.0625,139.640594,139.75,8089800,100.755112
1/5/2000,139.9375,141.531204,137.25,140,12177900,100.935326
1/6/2000,139.625,141.5,137.75,137.75,6227200,99.313148
1/7/2000,140.3125,145.75,140.0625,145.75,8066500,105.080872
1/10/2000,146.25,146.906204,145.031204,146.25,5741700,105.441383
1/11/2000,145.8125,146.093704,143.5,144.5,7503700,104.179672
1/12/2000,144.593704,144.593704,142.875,143.0625,6907700,103.143288
1/13/2000,144.468704,145.75,143.281204,145,5158300,104.540161
1/14/2000,146.531204,147.468704,145.968704,146.968704,7437300,105.959518
1/18/2000,145.343704,146.625,145.1875,145.8125,6488500,105.125931
1/19/2000,145.3125,147,145,147,6157900,105.982101
1/20/2000,146.968704,146.968704,143.8125,144.75,5800100,104.359924
1/21/2000,145.5,145.5,144.0625,144.4375,6244800,104.134598
1/24/2000,145.656204,145.843704,139.406204,140.343704,7896900,101.183144
1/25/2000,140.515594,141.9375,139,141.9375,9942500,102.33223
1/26/2000,141,141.546799,140.093704,140.8125,5158100,101.52108
1/27/2000,141.843704,142.218704,138.125,140.25,10922700,101.115547
1/28/2000,139.4375,140.0625,135.531204,135.875,11916200,97.961365
1/31/2000,135.8125,139.671799,135,139.5625,10768700,100.619919
2/1/2000,139.75,141.6875,138.531204,140.9375,8419900,101.611229
2/2/2000,141.281204,142.25,140.375,141.0625,6205900,101.70137
2/3/2000,140.875,143.25,140,143.1875,7997500,103.233391
2/4/2000,143.1875,144,142.125,142.593704,4925400,102.805283
2/7/2000,142.5625,142.781204,141.4375,142.375,5845800,102.647575
2/8/2000,143.968704,144.5625,143.625,144.3125,4936400,104.044502
2/9/2000,144.468704,144.468704,141.265594,141.281204,8511500,101.859093
2/10/2000,141.625,142.5625,140.875,141.5625,6690600,102.061844
2/11/2000,141.843704,141.9375,138.031204,138.6875,9849800,99.989075
2/14/2000,139.781204,139.781204,138.3125,139.5,8528800,100.574867
2/15/2000,139.25,141.218704,137.796799,141.078094,11078300,101.712601
2/16/2000,140.375,140.9375,138.796799,139,8845400,100.214363
2/17/2000,140.4375,140.4375,138.218704,138.281204,7584200,99.696114
2/18/2000,138.875,138.875,134.625,135.3125,9409200,97.555786
2/22/2000,135.1875,136.343704,133.531204,134.968704,16415400,97.307922
2/23/2000,135.625,137.468704,134.5,136.5625,12119000,98.457031
2/24/2000,136.6875,137.031204,133.093704,133.8125,17375000,96.474335
2/25/2000,135.1875,136.718704,133.125,133.328094,10559900,96.125107
2/28/2000,133.375,136.6875,132.718704,136.125,13397800,98.141579
2/29/2000,136.0625,137.4375,135.75,137.4375,8242500,99.087868
3/1/2000,137.625,139,137.218704,138.4375,6868000,99.808846
3/2/2000,138.6875,139.125,137.343704,138.531204,7600200,99.876419
3/3/2000,140.4375,141.718704,139.718704,141.125,12770300,101.746399
